Label,Id,most_published_topic
Romain Ilbert,7982,Machine Learning Algorithms and Theoretical AI
Yasin Yilmaz,7983,
Jiyong Zhou,7984,Large Language Models and Natural Language Processing
Vanessa Parli,7985,Emerging Technologies and Future Trends in AI
Dhivya Piraviperumal,7986,Machine Learning Algorithms and Theoretical AI
Theofanis Karaletsos,7987,Computer Vision and Image Processing
Steffen Eger,7988,Emerging Technologies and Future Trends in AI
Linyin Luo,7989,Large Language Models and Natural Language Processing
Janis Dalins,7990,Large Language Models and Natural Language Processing
Jonathan Gadea Harder,7991,Machine Learning Algorithms and Theoretical AI
Shaofei Wang,7992,Large Language Models and Natural Language Processing
Dragan Gasevic,7993,"AI in Education, Art, and Creative Industries"
Julian Schrittwieser,7994,Machine Learning Algorithms and Theoretical AI
Peter Brusilovsky,7995,"AI in Education, Art, and Creative Industries"
Ankur Chrungoo,7996,
Lori A. Coburn,7997,Healthcare and Biomedical Applications of AI
Yihang Sun,7998,Large Language Models and Natural Language Processing
Gan Sun,7999,Computer Vision and Image Processing
Ankit More,8000,Machine Learning Algorithms and Theoretical AI
Sertan Girgin,8001,"Robotics, Autonomous Systems, and Control"
Hang Wang,8002,Machine Learning Algorithms and Theoretical AI
Valeska de Sousa Uchoa,8003,Computer Vision and Image Processing
Chuan Zhou,8004,Machine Learning Algorithms and Theoretical AI
Lovenya Jain,8005,
Mohsen Nosratinia,8006,Emerging Technologies and Future Trends in AI
Yiming Bie,8007,Computer Vision and Image Processing
Jennifer Horkoff,8008,"AI Ethics, Society, and Policy"
Hongbo Wei,8009,Large Language Models and Natural Language Processing
Xiaodong Gu,8010,Computer Vision and Image Processing
Jose Nunez-Yanez,8011,Data Science and Analytics
Lei Fu,8012,Data Science and Analytics
Salar Arbabi,8013,
Zhenggqi Gao,8014,Machine Learning Algorithms and Theoretical AI
Adrien Maglo,8015,Computer Vision and Image Processing
Haidong Cui,8016,Computer Vision and Image Processing
Barrett Martin Lattimer,8017,Machine Learning Algorithms and Theoretical AI
Shezin Hussain,8018,"AI Ethics, Society, and Policy"
Mikhail Pavlov,8019,Large Language Models and Natural Language Processing
Chunyu Tu,8020,"Robotics, Autonomous Systems, and Control"
Yiangos Georgiou,8021,Computer Vision and Image Processing
Jiahe Liu,8022,Computer Vision and Image Processing
Sang Thanh Nguyen,8023,Healthcare and Biomedical Applications of AI
Rui Li,8024,Machine Learning Algorithms and Theoretical AI
Hongpeng Lin,8025,Large Language Models and Natural Language Processing
Peihao Chen,8026,Large Language Models and Natural Language Processing
Chih-Chien Tsai,8027,Computer Vision and Image Processing
Xun Qian,8028,Emerging Technologies and Future Trends in AI
Sean Rehaag,8029,Large Language Models and Natural Language Processing
Amanda Cercas Curry,8030,AI in Social Sciences and Humanities
Ganesh Ramakrishnan,8031,Machine Learning Algorithms and Theoretical AI
Asa Cooper Stickland,8032,Large Language Models and Natural Language Processing
Xiangjuan Li,8033,Machine Learning Algorithms and Theoretical AI
Andreas Göldi,8034,AI in Social Sciences and Humanities
Yufei Han,8035,Machine Learning Algorithms and Theoretical AI
Zhengwei Tao,8036,Large Language Models and Natural Language Processing
Tianyang Zhan,8037,Large Language Models and Natural Language Processing
Lauren Hong,8038,Large Language Models and Natural Language Processing
An Dinh Le,8039,Computer Vision and Image Processing
Gian Carlo Milanese,8040,Machine Learning Algorithms and Theoretical AI
William Thorne,8041,
Martí Perarnau-Llobet,8042,Emerging Technologies and Future Trends in AI
Amar Shah,8043,Machine Learning Algorithms and Theoretical AI
Zedong Tang,8044,Large Language Models and Natural Language Processing
Qianxi Li,8045,Large Language Models and Natural Language Processing
Guido Morgenthal,8046,Machine Learning Algorithms and Theoretical AI
Tobia Poppi,8047,Computer Vision and Image Processing
Ilan Moscovitz,8048,"AI Ethics, Society, and Policy"
Eoin Kenny,8049,Machine Learning Algorithms and Theoretical AI
Shan Lu,8050,Computer Vision and Image Processing
Alex Yakovlev,8051,Machine Learning Algorithms and Theoretical AI
Shangxin Guo,8052,"AI in Education, Art, and Creative Industries"
Jinxi Guo,8053,Large Language Models and Natural Language Processing
Gilles Audemard,8054,Machine Learning Algorithms and Theoretical AI
Elisa Nguyen,8055,"AI Ethics, Society, and Policy"
Masato Nishi,8056,Machine Learning Algorithms and Theoretical AI
Rosmary Blanco,8057,Healthcare and Biomedical Applications of AI
Tal Grinshpoun,8058,"AI in Education, Art, and Creative Industries"
Xiaobin Hu,8059,Computer Vision and Image Processing
Dimitris Stripelis,8060,Machine Learning Algorithms and Theoretical AI
Pierre Miralles,8061,Computer Vision and Image Processing
Anirudh Sundar,8062,"AI in Education, Art, and Creative Industries"
Alexander Sim,8063,Data Science and Analytics
Jiaheng Hu,8064,"Robotics, Autonomous Systems, and Control"
Tom Friese,8065,Machine Learning Algorithms and Theoretical AI
Amin Beheshti,8066,Machine Learning Algorithms and Theoretical AI
Xingang Pan,8067,Computer Vision and Image Processing
Carl Busart,8068,"Robotics, Autonomous Systems, and Control"
Linwei Sang,8069,"Robotics, Autonomous Systems, and Control"
Lian Zhang,8070,Machine Learning Algorithms and Theoretical AI
Jiajun Hu,8071,Machine Learning Algorithms and Theoretical AI
Na Chen,8072,Machine Learning Algorithms and Theoretical AI
Haneen Farah,8073,Machine Learning Algorithms and Theoretical AI
Zhizhuo Zhang,8074,"AI in Education, Art, and Creative Industries"
Yannick Hold-Geoffroy,8075,Computer Vision and Image Processing
Claudia Ferraris,8076,Computer Vision and Image Processing
Heejin Do,8077,"AI in Education, Art, and Creative Industries"
Mouïn Ben Ammar,8078,Machine Learning Algorithms and Theoretical AI
Panpan Xu,8079,
Joanna G. Escalon,8080,Healthcare and Biomedical Applications of AI
Xiaofeng Zhu,8081,Machine Learning Algorithms and Theoretical AI
Manas Gupta,8082,Machine Learning Algorithms and Theoretical AI
Bruce M. McLaren,8083,"AI in Education, Art, and Creative Industries"
Amos Storkey,8084,Computer Vision and Image Processing
Taewook Nam,8085,Machine Learning Algorithms and Theoretical AI
Yusuke Oda,8086,Large Language Models and Natural Language Processing
Jiannan Xu,8087,
Haofei Yu,8088,Large Language Models and Natural Language Processing
Pranav Agarwal,8089,Machine Learning Algorithms and Theoretical AI
Eve Fleisig,8090,Large Language Models and Natural Language Processing
Bingyu Shen,8091,Machine Learning Algorithms and Theoretical AI
Longkang Peng,8092,Computer Vision and Image Processing
Wenqiang Zhang,8093,Cybersecurity and Information Security with AI
Vered Cohen,8094,Large Language Models and Natural Language Processing
Dafeng Wei,8095,Computer Vision and Image Processing
Fred Hohman,8096,Data Science and Analytics
José Ángel González,8097,
Zhizhuo Kou,8098,
Xun Guo,8099,"AI in Education, Art, and Creative Industries"
Igor Mezić,8100,Machine Learning Algorithms and Theoretical AI
Zachary Sating,8101,Machine Learning Algorithms and Theoretical AI
Abbavaram Gowtham Reddy,8102,Machine Learning Algorithms and Theoretical AI
Carlo Allocca,8103,Large Language Models and Natural Language Processing
Shafaatunnur Hasan,8104,Machine Learning Algorithms and Theoretical AI
Sergei O. Kuznetsov,8105,AI in Social Sciences and Humanities
Xinran Han,8106,Machine Learning Algorithms and Theoretical AI
Xiuying Wei,8107,Large Language Models and Natural Language Processing
Kushal Majmundar,8108,Machine Learning Algorithms and Theoretical AI
S. M. Fazle Rabby Labib,8109,Cybersecurity and Information Security with AI
Cristian Bleotiu,8110,Emerging Technologies and Future Trends in AI
Xiaohui Nie,8111,Large Language Models and Natural Language Processing
Hui Ren,8112,Healthcare and Biomedical Applications of AI
Yangfei Dai,8113,"Robotics, Autonomous Systems, and Control"
Hendrik Buschmeier,8114,"AI Ethics, Society, and Policy"
Minghe Yu,8115,
Francesco De Toni,8116,"AI Ethics, Society, and Policy"
Marco Pavone,8117,"Robotics, Autonomous Systems, and Control"
Qinlin Zhao,8118,Large Language Models and Natural Language Processing
Zhongjie Wang,8119,Human-Computer Interaction and User Experience
Friedhelm Hamann,8120,"Robotics, Autonomous Systems, and Control"
Taofeeq Olajire,8121,AI for Industrial Automation and Manufacturing
Alain Mermoud,8122,AI in Social Sciences and Humanities
Junchi Yu,8123,Machine Learning Algorithms and Theoretical AI
Taha Entesari,8124,Machine Learning Algorithms and Theoretical AI
Kai Fong Ernest Chong,8125,"AI in Education, Art, and Creative Industries"
Difan Zou,8126,Machine Learning Algorithms and Theoretical AI
Igor Odintsov,8127,Healthcare and Biomedical Applications of AI
Zhihuan Song,8128,"AI Ethics, Society, and Policy"
Tingyu Yu,8129,Sustainability and Environmental Applications of AI
Damien Deville,8130,Large Language Models and Natural Language Processing
Jin Huang,8131,Machine Learning Algorithms and Theoretical AI
Aristotelis Lazaridis,8132,"AI in Education, Art, and Creative Industries"
Daniel Shats,8133,Computer Vision and Image Processing
Kathleen L. Poston,8134,Computer Vision and Image Processing
Jan Endendyk,8135,"AI Ethics, Society, and Policy"
Xingyi Cheng,8136,Data Science and Analytics
Phatrasek Jirabovonvisut,8137,Large Language Models and Natural Language Processing
Nishad Singhi,8138,AI in Social Sciences and Humanities
Yunzhi Zhang,8139,Computer Vision and Image Processing
Talal Rahwan,8140,"AI in Education, Art, and Creative Industries"
Sushmita Singh,8141,Large Language Models and Natural Language Processing
Sichao He,8142,Large Language Models and Natural Language Processing
Salem Ameen,8143,Machine Learning Algorithms and Theoretical AI
C. V. Jawahar,8144,Computer Vision and Image Processing
Fabio Ferreira,8145,Machine Learning Algorithms and Theoretical AI
Boli Chen,8146,Large Language Models and Natural Language Processing
Yun Luo,8147,"AI Ethics, Society, and Policy"
Yukun Yang,8148,Machine Learning Algorithms and Theoretical AI
Peter Hase,8149,Large Language Models and Natural Language Processing
Konstantina Mellou,8150,Large Language Models and Natural Language Processing
Amirhossein Hajavi,8151,"AI Ethics, Society, and Policy"
Matthieu Crussière,8152,Machine Learning Algorithms and Theoretical AI
Vincenzo Gervasi,8153,"AI Ethics, Society, and Policy"
Raymond Laflamme,8154,Cybersecurity and Information Security with AI
Tolga Birdal,8155,Machine Learning Algorithms and Theoretical AI
Shouyong Jiang,8156,Machine Learning Algorithms and Theoretical AI
Dario Negueruela del Castillo,8157,"AI in Education, Art, and Creative Industries"
Achim Schilling,8158,Machine Learning Algorithms and Theoretical AI
Iris Qu,8159,Large Language Models and Natural Language Processing
Yufei Mao,8160,Emerging Technologies and Future Trends in AI
Vasu Goel,8161,"AI Ethics, Society, and Policy"
Benjamin Devillers,8162,Machine Learning Algorithms and Theoretical AI
Dugang Liu,8163,Large Language Models and Natural Language Processing
Aline Gendrin-Brokmann,8164,Healthcare and Biomedical Applications of AI
Kanhai S. Amin,8165,Healthcare and Biomedical Applications of AI
Fernando Ramos López Lea Plößl,8166,"AI in Education, Art, and Creative Industries"
Vassilis N. Ioannidis,8167,Large Language Models and Natural Language Processing
Mingliang Bai,8168,Large Language Models and Natural Language Processing
Kaylin Bugbee,8169,Data Science and Analytics
Tsz Wa Cheng,8170,Computer Vision and Image Processing
Kishore Surendra,8171,Large Language Models and Natural Language Processing
Sirisha Rambhatla,8172,Large Language Models and Natural Language Processing
Taeyong Song,8173,Machine Learning Algorithms and Theoretical AI
Clara E. Rivera,8174,Large Language Models and Natural Language Processing
Junpeng Li,8175,
Enrique Garcia-Ceja,8176,Machine Learning Algorithms and Theoretical AI
Nikaash Puri,8177,Machine Learning Algorithms and Theoretical AI
Suparna Biswas,8178,Healthcare and Biomedical Applications of AI
Harvey Klyne,8179,Machine Learning Algorithms and Theoretical AI
Jian Gao,8180,Healthcare and Biomedical Applications of AI
Khoa Ngo-Khanh,8181,Machine Learning Algorithms and Theoretical AI
Sulin Liu,8182,Machine Learning Algorithms and Theoretical AI
Aishwarya Naresh Reganti,8183,Large Language Models and Natural Language Processing
Kate Harwood,8184,Healthcare and Biomedical Applications of AI
Joris van de Weg,8185,"Robotics, Autonomous Systems, and Control"
Niklas Kühl,8186,"AI Ethics, Society, and Policy"
Umang Bhatt,8187,Machine Learning Algorithms and Theoretical AI
SeungKyu Lee,8188,Computer Vision and Image Processing
Tingjiang Wei,8189,"AI Ethics, Society, and Policy"
Michal Drozdzal,8190,Data Science and Analytics
Guiwei Zhang,8191,Computer Vision and Image Processing
Jun Yao,8192,Machine Learning Algorithms and Theoretical AI
Jose-Marcos Nogueira,8193,Machine Learning Algorithms and Theoretical AI
Cristina España-Bonet,8194,
Aditya Basu,8195,Large Language Models and Natural Language Processing
Yuguo Yin,8196,Cybersecurity and Information Security with AI
Marianne Lovstad,8197,Healthcare and Biomedical Applications of AI
Michael Lappert,8198,"AI Ethics, Society, and Policy"
Mohammad Rezaei,8199,Computer Vision and Image Processing
Partha Talukdar,8200,Machine Learning Algorithms and Theoretical AI
Michal Natorski,8201,"AI Ethics, Society, and Policy"
Quoc-Tung Le,8202,Cybersecurity and Information Security with AI
Yang Tian,8203,Data Science and Analytics
Changxing Ding,8204,
Jasmine Collins,8205,Computer Vision and Image Processing
Ziqing Du,8206,Machine Learning Algorithms and Theoretical AI
Ronghui Mu,8207,Machine Learning Algorithms and Theoretical AI
Netta Madvil,8208,Computer Vision and Image Processing
Teng Zhang,8209,"AI Ethics, Society, and Policy"
Jack Merullo,8210,Large Language Models and Natural Language Processing
Bingbing Ni,8211,Computer Vision and Image Processing
Magdalini Eirinaki,8212,Data Science and Analytics
Edgar A. Duéñez-Guzmán,8213,"AI Ethics, Society, and Policy"
Justine Cassell,8214,AI in Social Sciences and Humanities
Yafei Dong,8215,Healthcare and Biomedical Applications of AI
Zirui Cheng,8216,"AI in Education, Art, and Creative Industries"
Leila Methnani,8217,Emerging Technologies and Future Trends in AI
Yun-Chun Chen,8218,Computer Vision and Image Processing
Barak Or,8219,"Robotics, Autonomous Systems, and Control"
Chunjing Jia,8220,Machine Learning Algorithms and Theoretical AI
Mingfei Yan,8221,"Robotics, Autonomous Systems, and Control"
Guanyu Nie,8222,Machine Learning Algorithms and Theoretical AI
Yisheng Xiao,8223,Large Language Models and Natural Language Processing
Yuzhong Chen,8224,Emerging Technologies and Future Trends in AI
Marco Braun,8225,Computer Vision and Image Processing
Khoi Nguyen,8226,Computer Vision and Image Processing
Van Dinh Quoc,8227,Cybersecurity and Information Security with AI
Lizhang Chen,8228,Machine Learning Algorithms and Theoretical AI
Dara Cassidy,8229,"AI in Education, Art, and Creative Industries"
Hang Su,8230,Computer Vision and Image Processing
Jiaxian Guo,8231,Computer Vision and Image Processing
Christos Kyrkou,8232,Machine Learning Algorithms and Theoretical AI
Ljubisa Bojic,8233,"AI Ethics, Society, and Policy"
Xiaozhong Liu,8234,AI in Social Sciences and Humanities
Qiongqiong Liu,8235,"AI in Education, Art, and Creative Industries"
Oliver Deussen,8236,
Nikhar Waghela,8237,"AI Ethics, Society, and Policy"
 Gemini Team,8238,Large Language Models and Natural Language Processing
Bogdan Hobeanu,8239,Emerging Technologies and Future Trends in AI
Xianfeng Jiao,8240,Healthcare and Biomedical Applications of AI
Jacob Christopher,8241,Machine Learning Algorithms and Theoretical AI
Anna Formica,8242,Data Science and Analytics
Zhiqiang Ma,8243,Large Language Models and Natural Language Processing
Anna Giannakou,8244,Data Science and Analytics
Roberto Calandra,8245,"Robotics, Autonomous Systems, and Control"
Abhishek Ramanathapura Satyanarayana,8246,Computer Vision and Image Processing
Xu Zou,8247,Large Language Models and Natural Language Processing
Zhuomin Chen,8248,Machine Learning Algorithms and Theoretical AI
Shahid Jahagirdar,8249,Computer Vision and Image Processing
Johannes Bjerva,8250,"AI in Education, Art, and Creative Industries"
Josef Tkadlec,8251,Machine Learning Algorithms and Theoretical AI
Shreya Santra,8252,"Robotics, Autonomous Systems, and Control"
Anders Bjorholm Dahl,8253,Computer Vision and Image Processing
Kerstin Dautenhahn,8254,"Robotics, Autonomous Systems, and Control"
Alex Mei,8255,"AI Ethics, Society, and Policy"
Sujata Ghosh,8256,Machine Learning Algorithms and Theoretical AI
Luciano Lavagno,8257,Emerging Technologies and Future Trends in AI
Thibault Clérice,8258,
Philippe Laban,8259,"AI in Education, Art, and Creative Industries"
Joaquin Borrego-Diaz,8260,Data Science and Analytics
Stanley Kingston,8261,Large Language Models and Natural Language Processing
Vivek Muralidharan,8262,"Robotics, Autonomous Systems, and Control"
Ueda Tatsuya,8263,Machine Learning Algorithms and Theoretical AI
Zhuo Long,8264,AI for Industrial Automation and Manufacturing
Nicola Gatti,8265,Machine Learning Algorithms and Theoretical AI
Miao Lu,8266,Machine Learning Algorithms and Theoretical AI
Solon Barocas,8267,"AI Ethics, Society, and Policy"
Yin Hua,8268,"AI in Education, Art, and Creative Industries"
Aaron Serianni,8269,Machine Learning Algorithms and Theoretical AI
Nicholas Kiefer,8270,Healthcare and Biomedical Applications of AI
Md Anisur Rahman,8271,Data Science and Analytics
Kinga Szarkowska,8272,
Xiaoning Jin,8273,"Robotics, Autonomous Systems, and Control"
Xiaobo Lu,8274,Large Language Models and Natural Language Processing
Deleene S Menefee,8275,Healthcare and Biomedical Applications of AI
Ankit Parag Shah,8276,Computer Vision and Image Processing
Dongwook Kim,8277,Data Science and Analytics
Cristina Simón-Martínez,8278,Data Science and Analytics
Atman Mishra,8279,Computer Vision and Image Processing
Ziwei Xie,8280,"AI in Education, Art, and Creative Industries"
Jianyu Chen,8281,"Robotics, Autonomous Systems, and Control"
Mariam Issa,8282,Cybersecurity and Information Security with AI
Jie Mein,8283,
Richard Moulange,8284,Emerging Technologies and Future Trends in AI
Oscar Chang,8285,"Robotics, Autonomous Systems, and Control"
Ashutosh Dutta,8286,Cybersecurity and Information Security with AI
Chi-Hang Suen,8287,Machine Learning Algorithms and Theoretical AI
Jiannan Wu,8288,Machine Learning Algorithms and Theoretical AI
Ángel González-Prieto,8289,Machine Learning Algorithms and Theoretical AI
Ziang Peng,8290,Computer Vision and Image Processing
Onur Altintas,8291,Emerging Technologies and Future Trends in AI
Stefano V. Albrecht,8292,"Robotics, Autonomous Systems, and Control"
Calvin Fletcher,8293,Healthcare and Biomedical Applications of AI
Wengang Zhou,8294,Large Language Models and Natural Language Processing
Junjie Zhu,8295,Computer Vision and Image Processing
Tamás Vicsek,8296,"Robotics, Autonomous Systems, and Control"
Lakshman Yagati,8297,Large Language Models and Natural Language Processing
Josef A. Buchner,8298,Computer Vision and Image Processing
Myat Thu Linn Aung,8299,Machine Learning Algorithms and Theoretical AI
Kanika Madan,8300,Healthcare and Biomedical Applications of AI
Yi-Chun Chen,8301,"AI in Education, Art, and Creative Industries"
Behrooz Masoumi,8302,"Robotics, Autonomous Systems, and Control"
Ioannis Patras,8303,Computer Vision and Image Processing
Koji Ando,8304,Healthcare and Biomedical Applications of AI
Carmel Fiscko,8305,
Guozhou Zheng,8306,Large Language Models and Natural Language Processing
Daniel Hennes,8307,
Taisuke Sato,8308,Machine Learning Algorithms and Theoretical AI
Stefan Duffner,8309,Large Language Models and Natural Language Processing
Leo-Pekka Lyytikäinen,8310,Machine Learning Algorithms and Theoretical AI
Caroline Reinig,8311,Large Language Models and Natural Language Processing
Johannes Schmude,8312,Data Science and Analytics
Pengxu Wei,8313,Computer Vision and Image Processing
Jekaterina Novikova,8314,Healthcare and Biomedical Applications of AI
Aftab Ali,8315,Cybersecurity and Information Security with AI
Shui Hu,8316,"AI in Education, Art, and Creative Industries"
Girish Sastry,8317,Large Language Models and Natural Language Processing
Muhammad Raza,8318,Large Language Models and Natural Language Processing
Dhananjaya Gowda,8319,Machine Learning Algorithms and Theoretical AI
Payel Das,8320,"AI Ethics, Society, and Policy"
Mauro Sozio,8321,Machine Learning Algorithms and Theoretical AI
Yifan Hong,8322,AI in Social Sciences and Humanities
Daniel Ordoñez-Apraez,8323,"Robotics, Autonomous Systems, and Control"
Alexandru Motogna,8324,"AI in Education, Art, and Creative Industries"
Rui He,8325,"AI Ethics, Society, and Policy"
Sehan Lee,8326,
Yan Guo,8327,"Robotics, Autonomous Systems, and Control"
Cliff Young,8328,
Yuejie Chi,8329,Machine Learning Algorithms and Theoretical AI
Ziyi Tang,8330,
Tianwei Wu,8331,Computer Vision and Image Processing
Celia López-Ongil,8332,Healthcare and Biomedical Applications of AI
Jing Shi,8333,Large Language Models and Natural Language Processing
Houshang H Amiri,8334,Healthcare and Biomedical Applications of AI
Pritish Parida,8335,Healthcare and Biomedical Applications of AI
Vladimir Mikulik,8336,Large Language Models and Natural Language Processing
Viraj Mehta,8337,Machine Learning Algorithms and Theoretical AI
Kyriakos Mouratidis,8338,Computer Vision and Image Processing
Miguel A. Gutiérrez-Naranjo,8339,Machine Learning Algorithms and Theoretical AI
Euiseog Jeong,8340,Computer Vision and Image Processing
Xu Tang,8341,"Robotics, Autonomous Systems, and Control"
Jiangnan Li,8342,"AI in Education, Art, and Creative Industries"
Mohamed Y. Eltabakh,8343,Data Science and Analytics
Kai Müller,8344,Machine Learning Algorithms and Theoretical AI
 Arvind,8345,Machine Learning Algorithms and Theoretical AI
Qiaosi Tang,8346,Healthcare and Biomedical Applications of AI
Wu Kai,8347,"Robotics, Autonomous Systems, and Control"
Jiuguang Wang,8348,Computer Vision and Image Processing
Nilamadhab Mohanty,8349,Large Language Models and Natural Language Processing
Jesus Solano,8350,Large Language Models and Natural Language Processing
Wooyeon Park,8351,Large Language Models and Natural Language Processing
Ariadna Just,8352,Computer Vision and Image Processing
Massimo Martinelli,8353,Machine Learning Algorithms and Theoretical AI
Kaiqun Fu,8354,
Ankur Bapna,8355,Large Language Models and Natural Language Processing
Naimul Khan,8356,Healthcare and Biomedical Applications of AI
Wenjie Liu,8357,Quantum Computing and AI
Bingqiao Luo,8358,Data Science and Analytics
Zora Tung,8359,Large Language Models and Natural Language Processing
Mohamed Tarek,8360,Machine Learning Algorithms and Theoretical AI
Yao Shu,8361,Machine Learning Algorithms and Theoretical AI
Satinder Baveja,8362,"Robotics, Autonomous Systems, and Control"
Spencer Poff,8363,Large Language Models and Natural Language Processing
Chunjiang Zhu,8364,Data Science and Analytics
Qingpei Guo,8365,Large Language Models and Natural Language Processing
Khaled Rasheed,8366,"AI in Education, Art, and Creative Industries"
Arushi Sharma,8367,Machine Learning Algorithms and Theoretical AI
Omid Amini,8368,"Robotics, Autonomous Systems, and Control"
Lizhong Zheng,8369,Computer Vision and Image Processing
Boualem Benatallah,8370,Machine Learning Algorithms and Theoretical AI
Oscar Tuvey,8371,AI in Social Sciences and Humanities
Chen-Long Xie,8372,"Robotics, Autonomous Systems, and Control"
Hanhui Yang,8373,Machine Learning Algorithms and Theoretical AI
María Barroso,8374,Healthcare and Biomedical Applications of AI
Priya Rangarajan,8375,Data Science and Analytics
Batuhan Yardim,8376,Machine Learning Algorithms and Theoretical AI
Heliang Zheng,8377,Large Language Models and Natural Language Processing
Raphael Mazzine Barbosa De Oliveira,8378,Machine Learning Algorithms and Theoretical AI
Anurag Sarkar,8379,"AI in Education, Art, and Creative Industries"
Vikash Mansinghka,8380,Machine Learning Algorithms and Theoretical AI
Jonibek Mansurov,8381,"AI Ethics, Society, and Policy"
Samrat Dutta,8382,"AI in Education, Art, and Creative Industries"
Jakub Łyskawa,8383,"Robotics, Autonomous Systems, and Control"
David B. Ascher,8384,Healthcare and Biomedical Applications of AI
Shaomin Zhang,8385,Machine Learning Algorithms and Theoretical AI
Dhiana Deva Cavacanti Rocha,8386,Data Science and Analytics
Kamelia Amazian,8387,Healthcare and Biomedical Applications of AI
Yikai Guo,8388,
Aman Priyanshu,8389,"AI Ethics, Society, and Policy"
Michael Leong,8390,
Sandya Mannarswamy,8391,Machine Learning Algorithms and Theoretical AI
Shuai Mao,8392,Machine Learning Algorithms and Theoretical AI
Saeed Khalilazar,8393,Data Science and Analytics
Candice Morgan,8394,"AI in Education, Art, and Creative Industries"
Yeonie Heo,8395,Healthcare and Biomedical Applications of AI
Jiajin Zhang,8396,Machine Learning Algorithms and Theoretical AI
Ali Beikmohammadi,8397,Machine Learning Algorithms and Theoretical AI
Salman Avestimehr,8398,Cybersecurity and Information Security with AI
Shuai Lyu,8399,Machine Learning Algorithms and Theoretical AI
Carl Qi,8400,"Robotics, Autonomous Systems, and Control"
Yunzhao Zeng,8401,"AI in Education, Art, and Creative Industries"
Jia He,8402,Data Science and Analytics
Kehua Chang,8403,
Deborah Duong,8404,Machine Learning Algorithms and Theoretical AI
Suayb S. Arslan,8405,Machine Learning Algorithms and Theoretical AI
Marco Schorlemmer,8406,AI in Social Sciences and Humanities
David Cook,8407,Healthcare and Biomedical Applications of AI
Miguel Lerma,8408,Machine Learning Algorithms and Theoretical AI
Rui Hu,8409,Data Science and Analytics
Enda Barrett,8410,AI for Industrial Automation and Manufacturing
Bang-Dang Pham,8411,Computer Vision and Image Processing
Junxue Zhang,8412,Machine Learning Algorithms and Theoretical AI
Shiming Ge,8413,Machine Learning Algorithms and Theoretical AI
Xiaoyao Wang,8414,Healthcare and Biomedical Applications of AI
Sixian Li,8415,"AI in Education, Art, and Creative Industries"
Borja García de Soto,8416,"AI in Education, Art, and Creative Industries"
Rameswar Panda,8417,"AI in Education, Art, and Creative Industries"
Tom Zahavy,8418,Machine Learning Algorithms and Theoretical AI
Chaofan Ma,8419,Computer Vision and Image Processing
Fran Silavong,8420,Machine Learning Algorithms and Theoretical AI
Xueyan Zhao,8421,Large Language Models and Natural Language Processing
Henni Ouerdane,8422,"Robotics, Autonomous Systems, and Control"
Ravi Mangal,8423,"Robotics, Autonomous Systems, and Control"
Brent A. Wallace,8424,Machine Learning Algorithms and Theoretical AI
Yuntae Jang,8425,
Seungcheon Lee,8426,Computer Vision and Image Processing
Michelle Miller,8427,Machine Learning Algorithms and Theoretical AI
Isadora White,8428,Machine Learning Algorithms and Theoretical AI
Guglielmo Camporese,8429,"Robotics, Autonomous Systems, and Control"
Guiming Chen,8430,Large Language Models and Natural Language Processing
Wei-Shinn Ku,8431,Machine Learning Algorithms and Theoretical AI
Dominik Rabiej,8432,Large Language Models and Natural Language Processing
Silvia Bucci,8433,"AI Ethics, Society, and Policy"
Marc S. Klinger,8434,Machine Learning Algorithms and Theoretical AI
Ning Ding,8435,Large Language Models and Natural Language Processing
He Qu,8436,Large Language Models and Natural Language Processing
Ahmet Emin Yetkin,8437,Computer Vision and Image Processing
Juan A Rodriguez,8438,"AI in Education, Art, and Creative Industries"
Simon Bilik,8439,Healthcare and Biomedical Applications of AI
Namjoon Suh,8440,Machine Learning Algorithms and Theoretical AI
Syed Talal Wasim,8441,
Chun Feng,8442,Computer Vision and Image Processing
Music Li,8443,Large Language Models and Natural Language Processing
James Wald,8444,Computer Vision and Image Processing
Richard Correnti,8445,Large Language Models and Natural Language Processing
Rasool Fakoor,8446,Machine Learning Algorithms and Theoretical AI
Yanliang Huang,8447,Computer Vision and Image Processing
Mario Brcic,8448,"AI Ethics, Society, and Policy"
Jinqiao Shi,8449,Healthcare and Biomedical Applications of AI
Ciaran Cooney,8450,Data Science and Analytics
Steve Fierro,8451,"Robotics, Autonomous Systems, and Control"
Renjie Li,8452,
Kevin Button,8453,Large Language Models and Natural Language Processing
Zhongmou He,8454,Large Language Models and Natural Language Processing
Youssra Cheriguene,8455,Machine Learning Algorithms and Theoretical AI
Jiachen Jiang,8456,Machine Learning Algorithms and Theoretical AI
Yiheng Su,8457,Machine Learning Algorithms and Theoretical AI
Rui Xia,8458,Large Language Models and Natural Language Processing
Shannon Shen,8459,Large Language Models and Natural Language Processing
Salem Haykal,8460,Large Language Models and Natural Language Processing
Mor Vered,8461,Machine Learning Algorithms and Theoretical AI
Moritz Negwer,8462,Computer Vision and Image Processing
Abdallah Saffidine,8463,Machine Learning Algorithms and Theoretical AI
Yuxi Xie,8464,Machine Learning Algorithms and Theoretical AI
Syed Rifat Raiyan,8465,
Yosra Hajjaji,8466,Sustainability and Environmental Applications of AI
Ziyan Guo,8467,Computer Vision and Image Processing
Kalotina Machini,8468,Large Language Models and Natural Language Processing
Kartheik Iyer,8469,Large Language Models and Natural Language Processing
